,Date Accessed,IP Addresses,The Request
36,29/Nov/2015,54.165.199.171,"""GET /phoenix-sports/ HTTP/1.0"""
37,29/Nov/2015,54.165.199.171,"""GET /detroit-sports/ HTTP/1.0"""
38,29/Nov/2015,54.165.199.171,"""GET /minneapolis-headlines/ HTTP/1.0"""
39,29/Nov/2015,54.165.199.171,"""GET /san-francisco-headlines/ HTTP/1.0"""
40,29/Nov/2015,54.165.199.171,"""GET /detroit-headlines/ HTTP/1.0"""
41,29/Nov/2015,54.165.199.171,"""GET /boston-sports/ HTTP/1.0"""
42,29/Nov/2015,54.165.199.171,"""GET /san-jose-headlines/ HTTP/1.0"""
43,29/Nov/2015,54.165.199.171,"""GET /miami-sports/ HTTP/1.0"""
44,29/Nov/2015,54.165.199.171,"""GET /miami-headlines/ HTTP/1.0"""
45,29/Nov/2015,54.165.199.171,"""GET /atlanta-headlines/ HTTP/1.0"""
46,29/Nov/2015,54.165.199.171,"""GET /atlanta-sports/ HTTP/1.0"""
47,29/Nov/2015,54.165.199.171,"""GET /boston-headlines/ HTTP/1.0"""
48,29/Nov/2015,54.165.199.171,"""GET /san-diego-headlines/ HTTP/1.0"""
49,29/Nov/2015,54.165.199.171,"""GET /minneapolis-sports/ HTTP/1.0"""
50,29/Nov/2015,54.165.199.171,"""GET /san-jose-sports/ HTTP/1.0"""
51,29/Nov/2015,54.165.199.171,"""GET /raleigh-headlines/ HTTP/1.0"""
52,29/Nov/2015,54.165.199.171,"""GET /raleigh-sports/ HTTP/1.0"""
53,29/Nov/2015,54.165.199.171,"""GET /world/ HTTP/1.0"""
54,29/Nov/2015,54.165.199.171,"""GET /baltimore-sports/ HTTP/1.0"""
55,29/Nov/2015,54.165.199.171,"""GET /australia/ HTTP/1.0"""
56,29/Nov/2015,54.165.199.171,"""GET /baltimore-headlines/ HTTP/1.0"""
57,29/Nov/2015,54.165.199.171,"""GET /tampa-headlines/ HTTP/1.0"""
58,29/Nov/2015,54.165.199.171,"""GET /san-diego-sports/ HTTP/1.0"""
59,29/Nov/2015,54.165.199.171,"""GET /tampa-sports/ HTTP/1.0"""
60,29/Nov/2015,54.165.199.171,"""GET /st-louis-headlines/ HTTP/1.0"""
61,29/Nov/2015,54.165.199.171,"""GET /washington-dc-sports/ HTTP/1.0"""
62,29/Nov/2015,54.165.199.171,
63,29/Nov/2015,54.165.199.171,"""GET /philadelphia-sports/ HTTP/1.0"""
64,29/Nov/2015,54.165.199.171,"""GET /weather/ HTTP/1.0"""
65,29/Nov/2015,54.165.199.171,"""GET /st-louis-sports/ HTTP/1.0"""
66,29/Nov/2015,54.165.199.171,"""GET /sports/ HTTP/1.0"""
67,29/Nov/2015,51.254.206.142,"""GET / HTTP/1.1"""
68,29/Nov/2015,,"""GET /cgi-bin/webproc HTTP/1.0"""
69,29/Nov/2015,54.165.199.171,"""GET /robots.txt HTTP/1.1"""
70,29/Nov/2015,54.165.199.171,"""GET /orlando-sports/ HTTP/1.0"""
71,29/Nov/2015,54.165.199.171,"""GET /about/ HTTP/1.0"""
72,29/Nov/2015,54.165.199.171,"""GET /orlando-headlines/ HTTP/1.0"""
73,29/Nov/2015,54.165.199.171,"""GET /business/ HTTP/1.0"""
74,29/Nov/2015,54.165.199.171,"""GET /technology/ HTTP/1.0"""
75,29/Nov/2015,54.165.199.171,"""GET /entertainment/ HTTP/1.0"""
76,29/Nov/2015,54.165.199.171,"""GET /travel/ HTTP/1.0"""
77,29/Nov/2015,54.165.199.171,"""GET /national/ HTTP/1.0"""
78,29/Nov/2015,54.165.199.171,"""GET /science/ HTTP/1.0"""
79,29/Nov/2015,54.165.199.171,"""GET /seattle-headlines/ HTTP/1.0"""
80,29/Nov/2015,54.165.199.171,"""GET /seattle-sports/ HTTP/1.0"""
81,29/Nov/2015,54.165.199.171,"""GET /dallas-headlines/ HTTP/1.0"""
82,29/Nov/2015,54.165.199.171,"""GET /chicago-sports/ HTTP/1.0"""
83,29/Nov/2015,54.165.199.171,"""GET /dallas-sports/ HTTP/1.0"""
84,29/Nov/2015,54.165.199.171,"""GET /houston-headlines/ HTTP/1.0"""
85,29/Nov/2015,54.165.199.171,"""GET /philadelphia-headlines/ HTTP/1.0"""
86,29/Nov/2015,54.165.199.171,"""GET /houston-sports/ HTTP/1.0"""
87,29/Nov/2015,54.165.199.171,"""GET /chicago-headlines/ HTTP/1.0"""
88,29/Nov/2015,54.165.199.171,"""GET /los-angeles-sports/ HTTP/1.0"""
89,29/Nov/2015,54.165.199.171,"""GET /national-sports/ HTTP/1.0"""
90,29/Nov/2015,54.165.199.171,"""GET /new-york-city-headlines/ HTTP/1.0"""
91,29/Nov/2015,54.165.199.171,"""GET /national-headlines/ HTTP/1.0"""
92,29/Nov/2015,54.165.199.171,"""GET /new-york-city-sports/ HTTP/1.0"""
93,29/Nov/2015,54.165.199.171,"""GET /category/uncategorized/ HTTP/1.0"""
94,29/Nov/2015,54.165.199.171,"""GET /los-angeles-headlines/ HTTP/1.0"""
95,29/Nov/2015,54.165.199.171,"""GET /washington-dc-headlines/ HTTP/1.0"""
96,29/Nov/2015,51.254.206.142,"""GET /australia/ HTTP/1.1"""
97,29/Nov/2015,54.165.199.171,"""GET /sitemap_index.xml HTTP/1.0"""
98,29/Nov/2015,54.165.199.171,"""GET /creating-good-comics-experience/ HTTP/1.0"""
99,29/Nov/2015,54.165.199.171,"""GET /introducing-comment-killer/ HTTP/1.0"""
100,29/Nov/2015,54.165.199.171,"""GET /defense-sticking-head-sand/ HTTP/1.0"""
101,29/Nov/2015,54.165.199.171,"""GET /no-hate-news/ HTTP/1.0"""
102,29/Nov/2015,54.165.199.171,"""GET /filter-bad-news-restore-faith-humanity/ HTTP/1.0"""
103,29/Nov/2015,54.165.199.171,"""GET / HTTP/1.0"""
104,29/Nov/2015,54.165.199.171,"""GET /phoenix-headlines/ HTTP/1.0"""
105,29/Nov/2015,54.165.199.171,"""GET /san-francisco-sports/ HTTP/1.0"""
106,29/Nov/2015,54.165.199.171,"""GET /phoenix-sports/ HTTP/1.0"""
107,29/Nov/2015,54.165.199.171,"""GET /detroit-sports/ HTTP/1.0"""
108,29/Nov/2015,54.165.199.171,"""GET /minneapolis-headlines/ HTTP/1.0"""
109,29/Nov/2015,54.165.199.171,"""GET /san-francisco-headlines/ HTTP/1.0"""
110,29/Nov/2015,54.165.199.171,"""GET /detroit-headlines/ HTTP/1.0"""
111,29/Nov/2015,54.165.199.171,"""GET /boston-sports/ HTTP/1.0"""
112,29/Nov/2015,54.165.199.171,"""GET /miami-sports/ HTTP/1.0"""
113,29/Nov/2015,54.165.199.171,"""GET /australia/ HTTP/1.0"""
114,29/Nov/2015,54.165.199.171,"""GET /miami-headlines/ HTTP/1.0"""
115,29/Nov/2015,54.165.199.171,"""GET /atlanta-headlines/ HTTP/1.0"""
116,29/Nov/2015,54.165.199.171,"""GET /atlanta-sports/ HTTP/1.0"""
117,29/Nov/2015,54.165.199.171,"""GET /boston-headlines/ HTTP/1.0"""
118,29/Nov/2015,54.165.199.171,"""GET /minneapolis-sports/ HTTP/1.0"""
119,29/Nov/2015,54.165.199.171,"""GET /san-diego-headlines/ HTTP/1.0"""
120,29/Nov/2015,54.165.199.171,"""GET /san-jose-sports/ HTTP/1.0"""
121,29/Nov/2015,54.165.199.171,"""GET /san-jose-headlines/ HTTP/1.0"""
122,29/Nov/2015,54.165.199.171,"""GET /raleigh-headlines/ HTTP/1.0"""
123,29/Nov/2015,54.165.199.171,"""GET /raleigh-sports/ HTTP/1.0"""
124,29/Nov/2015,54.165.199.171,"""GET /baltimore-sports/ HTTP/1.0"""
125,29/Nov/2015,54.165.199.171,"""GET /baltimore-headlines/ HTTP/1.0"""
126,29/Nov/2015,54.165.199.171,"""GET /world/ HTTP/1.0"""
127,29/Nov/2015,54.165.199.171,"""GET /tampa-headlines/ HTTP/1.0"""
128,29/Nov/2015,54.165.199.171,"""GET /san-diego-sports/ HTTP/1.0"""
129,29/Nov/2015,54.165.199.171,"""GET /tampa-sports/ HTTP/1.0"""
130,29/Nov/2015,54.165.199.171,"""GET /st-louis-sports/ HTTP/1.0"""
131,29/Nov/2015,54.165.199.171,"""GET /washington-dc-sports/ HTTP/1.0"""
132,29/Nov/2015,54.165.199.171,
133,29/Nov/2015,54.165.199.171,"""GET /philadelphia-sports/ HTTP/1.0"""
134,29/Nov/2015,54.165.199.171,"""GET /weather/ HTTP/1.0"""
135,29/Nov/2015,54.165.199.171,"""GET /sports/ HTTP/1.0"""
136,29/Nov/2015,54.165.199.171,"""GET /st-louis-headlines/ HTTP/1.0"""
137,29/Nov/2015,,"""GET / HTTP/1.1"""
138,29/Nov/2015,51.254.206.142,
139,29/Nov/2015,54.165.199.171,"""GET /defense-sticking-head-sand/ HTTP/1.1"""
140,29/Nov/2015,54.165.199.171,"""GET /orlando-sports/ HTTP/1.0"""
141,29/Nov/2015,54.165.199.171,"""GET /orlando-headlines/ HTTP/1.0"""
142,29/Nov/2015,54.165.199.171,"""GET /about/ HTTP/1.0"""
143,29/Nov/2015,54.165.199.171,"""GET /business/ HTTP/1.0"""
144,29/Nov/2015,93.174.141.54,"""POST /wp-login.php HTTP/1.1"""
145,29/Nov/2015,54.165.199.171,"""GET /entertainment/ HTTP/1.0"""
146,29/Nov/2015,54.165.199.171,"""GET /travel/ HTTP/1.0"""
147,29/Nov/2015,54.165.199.171,"""GET /national/ HTTP/1.0"""
148,29/Nov/2015,54.165.199.171,"""GET /science/ HTTP/1.0"""
149,29/Nov/2015,54.165.199.171,"""GET /seattle-headlines/ HTTP/1.0"""
150,29/Nov/2015,54.165.199.171,"""GET /dallas-headlines/ HTTP/1.0"""
151,29/Nov/2015,54.165.199.171,"""GET /chicago-sports/ HTTP/1.0"""
152,29/Nov/2015,54.165.199.171,"""GET /seattle-sports/ HTTP/1.0"""
153,29/Nov/2015,54.165.199.171,"""GET /dallas-sports/ HTTP/1.0"""
154,29/Nov/2015,54.165.199.171,"""GET /houston-headlines/ HTTP/1.0"""
155,29/Nov/2015,54.165.199.171,"""GET /philadelphia-headlines/ HTTP/1.0"""
156,29/Nov/2015,54.165.199.171,"""GET /houston-sports/ HTTP/1.0"""
157,29/Nov/2015,54.165.199.171,"""GET /chicago-headlines/ HTTP/1.0"""
158,29/Nov/2015,54.165.199.171,"""GET /los-angeles-sports/ HTTP/1.0"""
159,29/Nov/2015,54.165.199.171,"""GET /national-sports/ HTTP/1.0"""
160,29/Nov/2015,54.165.199.171,"""GET /new-york-city-headlines/ HTTP/1.0"""
161,29/Nov/2015,54.165.199.171,"""GET /new-york-city-sports/ HTTP/1.0"""
162,29/Nov/2015,54.165.199.171,"""GET /national-headlines/ HTTP/1.0"""
163,29/Nov/2015,54.165.199.171,"""GET /category/uncategorized/ HTTP/1.0"""
164,29/Nov/2015,54.165.199.171,"""GET /los-angeles-headlines/ HTTP/1.0"""
165,29/Nov/2015,54.165.199.171,"""GET /washington-dc-headlines/ HTTP/1.0"""
166,29/Nov/2015,54.165.199.171,"""GET / HTTP/1.1"""
167,29/Nov/2015,54.165.199.171,"""GET /creating-good-comics-experience/ HTTP/1.0"""
168,29/Nov/2015,54.165.199.171,"""GET /introducing-comment-killer/ HTTP/1.0"""
169,29/Nov/2015,54.165.199.171,"""GET /defense-sticking-head-sand/ HTTP/1.0"""
170,29/Nov/2015,54.165.199.171,"""GET /no-hate-news/ HTTP/1.0"""
171,29/Nov/2015,54.165.199.171,"""GET /filter-bad-news-restore-faith-humanity/ HTTP/1.0"""
172,29/Nov/2015,54.165.199.171,"""GET / HTTP/1.0"""
173,29/Nov/2015,54.165.199.171,"""GET /phoenix-headlines/ HTTP/1.0"""
174,29/Nov/2015,54.165.199.171,"""GET /san-francisco-sports/ HTTP/1.0"""
175,29/Nov/2015,54.165.199.171,"""GET /phoenix-sports/ HTTP/1.0"""
176,29/Nov/2015,54.165.199.171,"""GET /detroit-sports/ HTTP/1.0"""
177,29/Nov/2015,54.165.199.171,"""GET /minneapolis-headlines/ HTTP/1.0"""
178,29/Nov/2015,54.165.199.171,"""GET /san-francisco-headlines/ HTTP/1.0"""
179,29/Nov/2015,54.165.199.171,"""GET /detroit-headlines/ HTTP/1.0"""
180,29/Nov/2015,54.165.199.171,"""GET /boston-sports/ HTTP/1.0"""
181,29/Nov/2015,54.165.199.171,"""GET /miami-sports/ HTTP/1.0"""
182,29/Nov/2015,54.165.199.171,"""GET /miami-headlines/ HTTP/1.0"""
183,29/Nov/2015,54.165.199.171,"""GET /atlanta-headlines/ HTTP/1.0"""
184,29/Nov/2015,54.165.199.171,"""GET /atlanta-sports/ HTTP/1.0"""
185,29/Nov/2015,54.165.199.171,"""GET /boston-headlines/ HTTP/1.0"""
186,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
187,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
188,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
189,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
190,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
191,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
192,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
193,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
194,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
195,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
196,29/Nov/2015,54.165.199.171,"""GET /minneapolis-sports/ HTTP/1.0"""
197,29/Nov/2015,,"""POST /wp-login.php HTTP/1.0"""
198,29/Nov/2015,54.165.199.171,"""GET /san-diego-headlines/ HTTP/1.0"""
199,29/Nov/2015,54.165.199.171,"""GET /san-jose-sports/ HTTP/1.0"""
200,29/Nov/2015,54.165.199.171,"""GET /san-jose-headlines/ HTTP/1.0"""
201,29/Nov/2015,54.165.199.171,"""GET /raleigh-headlines/ HTTP/1.0"""
202,29/Nov/2015,54.165.199.171,"""GET /raleigh-sports/ HTTP/1.0"""
203,29/Nov/2015,54.165.199.171,"""GET /world/ HTTP/1.0"""
204,29/Nov/2015,54.165.199.171,"""GET /baltimore-sports/ HTTP/1.0"""
205,29/Nov/2015,54.165.199.171,"""GET /australia/ HTTP/1.0"""
206,29/Nov/2015,54.165.199.171,"""GET /baltimore-headlines/ HTTP/1.0"""
207,29/Nov/2015,54.165.199.171,"""GET /tampa-headlines/ HTTP/1.0"""
208,29/Nov/2015,54.165.199.171,"""GET /san-diego-sports/ HTTP/1.0"""
209,29/Nov/2015,54.165.199.171,"""GET /tampa-sports/ HTTP/1.0"""
210,29/Nov/2015,54.165.199.171,"""GET /st-louis-sports/ HTTP/1.0"""
211,29/Nov/2015,54.165.199.171,"""GET /st-louis-headlines/ HTTP/1.0"""
212,29/Nov/2015,54.165.199.171,"""GET /washington-dc-sports/ HTTP/1.0"""
213,29/Nov/2015,54.165.199.171,
214,29/Nov/2015,54.165.199.171,"""GET /philadelphia-sports/ HTTP/1.0"""
215,29/Nov/2015,54.165.199.171,"""GET /weather/ HTTP/1.0"""
216,29/Nov/2015,54.165.199.171,"""GET /sports/ HTTP/1.0"""
217,29/Nov/2015,188.143.233.47,"""POST /wp-login.php HTTP/1.1"""
218,29/Nov/2015,54.165.199.171,"""GET /orlando-sports/ HTTP/1.0"""
219,29/Nov/2015,54.165.199.171,"""GET /technology/ HTTP/1.0"""
220,29/Nov/2015,54.165.199.171,"""GET /about/ HTTP/1.0"""
221,29/Nov/2015,54.165.199.171,"""GET /orlando-headlines/ HTTP/1.0"""
222,29/Nov/2015,54.165.199.171,"""GET /business/ HTTP/1.0"""
223,29/Nov/2015,54.165.199.171,"""GET /entertainment/ HTTP/1.0"""
224,29/Nov/2015,54.165.199.171,"""GET /travel/ HTTP/1.0"""
225,29/Nov/2015,54.165.199.171,"""GET /national/ HTTP/1.0"""
226,29/Nov/2015,54.165.199.171,"""GET /science/ HTTP/1.0"""
227,29/Nov/2015,54.165.199.171,"""GET /seattle-headlines/ HTTP/1.0"""
228,29/Nov/2015,54.165.199.171,"""GET /seattle-sports/ HTTP/1.0"""
229,29/Nov/2015,54.165.199.171,"""GET /dallas-headlines/ HTTP/1.0"""
230,29/Nov/2015,54.165.199.171,"""GET /chicago-sports/ HTTP/1.0"""
231,29/Nov/2015,54.165.199.171,"""GET /dallas-sports/ HTTP/1.0"""
232,29/Nov/2015,54.165.199.171,"""GET /houston-headlines/ HTTP/1.0"""
233,29/Nov/2015,54.165.199.171,"""GET /philadelphia-headlines/ HTTP/1.0"""
234,29/Nov/2015,54.165.199.171,"""GET /houston-sports/ HTTP/1.0"""
235,29/Nov/2015,54.165.199.171,"""GET /chicago-headlines/ HTTP/1.0"""
236,29/Nov/2015,54.165.199.171,"""GET /los-angeles-sports/ HTTP/1.0"""
237,29/Nov/2015,54.165.199.171,"""GET /national-sports/ HTTP/1.0"""
238,29/Nov/2015,54.165.199.171,"""GET /new-york-city-headlines/ HTTP/1.0"""
239,29/Nov/2015,54.165.199.171,"""GET /new-york-city-sports/ HTTP/1.0"""
240,29/Nov/2015,54.165.199.171,"""GET /national-headlines/ HTTP/1.0"""
241,29/Nov/2015,54.165.199.171,"""GET /category/uncategorized/ HTTP/1.0"""
242,29/Nov/2015,54.165.199.171,"""GET /los-angeles-headlines/ HTTP/1.0"""
243,29/Nov/2015,54.165.199.171,"""GET /washington-dc-headlines/ HTTP/1.0"""
244,29/Nov/2015,51.254.206.142,"""GET / HTTP/1.1"""
245,29/Nov/2015,188.143.232.224,"""GET /wp-login.php HTTP/1.1"""
246,29/Nov/2015,54.165.199.171,"""GET /creating-good-comics-experience/ HTTP/1.0"""
247,29/Nov/2015,54.165.199.171,"""GET /introducing-comment-killer/ HTTP/1.0"""
248,29/Nov/2015,54.165.199.171,"""GET /defense-sticking-head-sand/ HTTP/1.0"""
249,29/Nov/2015,54.165.199.171,"""GET /no-hate-news/ HTTP/1.0"""
250,29/Nov/2015,54.165.199.171,"""GET /filter-bad-news-restore-faith-humanity/ HTTP/1.0"""
251,29/Nov/2015,54.165.199.171,"""GET / HTTP/1.0"""
252,29/Nov/2015,54.165.199.171,"""GET /phoenix-headlines/ HTTP/1.0"""
253,29/Nov/2015,54.165.199.171,"""GET /san-francisco-sports/ HTTP/1.0"""
254,29/Nov/2015,54.165.199.171,"""GET /phoenix-sports/ HTTP/1.0"""
255,29/Nov/2015,54.165.199.171,"""GET /detroit-sports/ HTTP/1.0"""
256,29/Nov/2015,54.165.199.171,"""GET /minneapolis-headlines/ HTTP/1.0"""
257,29/Nov/2015,54.165.199.171,"""GET /san-francisco-headlines/ HTTP/1.0"""
258,29/Nov/2015,54.165.199.171,"""GET /detroit-headlines/ HTTP/1.0"""
259,29/Nov/2015,54.165.199.171,"""GET /boston-sports/ HTTP/1.0"""
260,29/Nov/2015,54.165.199.171,"""GET /miami-sports/ HTTP/1.0"""
261,29/Nov/2015,54.165.199.171,"""GET /miami-headlines/ HTTP/1.0"""
262,29/Nov/2015,54.165.199.171,"""GET /atlanta-headlines/ HTTP/1.0"""
263,29/Nov/2015,54.165.199.171,"""GET /atlanta-sports/ HTTP/1.0"""
264,29/Nov/2015,54.165.199.171,"""GET /boston-headlines/ HTTP/1.0"""
265,29/Nov/2015,54.165.199.171,"""GET /minneapolis-sports/ HTTP/1.0"""
266,29/Nov/2015,54.165.199.171,"""GET /san-diego-headlines/ HTTP/1.0"""
267,29/Nov/2015,54.165.199.171,"""GET /san-jose-sports/ HTTP/1.0"""
268,29/Nov/2015,54.165.199.171,"""GET /san-jose-headlines/ HTTP/1.0"""
269,29/Nov/2015,54.165.199.171,"""GET /raleigh-headlines/ HTTP/1.0"""
270,29/Nov/2015,54.165.199.171,"""GET /raleigh-sports/ HTTP/1.0"""
271,29/Nov/2015,54.165.199.171,"""GET /baltimore-sports/ HTTP/1.0"""
272,29/Nov/2015,54.165.199.171,"""GET /world/ HTTP/1.0"""
273,29/Nov/2015,54.165.199.171,"""GET /australia/ HTTP/1.0"""
274,29/Nov/2015,54.165.199.171,"""GET /baltimore-headlines/ HTTP/1.0"""
275,29/Nov/2015,54.165.199.171,"""GET /tampa-headlines/ HTTP/1.0"""
276,29/Nov/2015,54.165.199.171,"""GET /san-diego-sports/ HTTP/1.0"""
277,29/Nov/2015,54.165.199.171,"""GET /tampa-sports/ HTTP/1.0"""
278,29/Nov/2015,54.165.199.171,"""GET /st-louis-sports/ HTTP/1.0"""
279,29/Nov/2015,54.165.199.171,"""GET /st-louis-headlines/ HTTP/1.0"""
280,29/Nov/2015,54.165.199.171,"""GET /washington-dc-sports/ HTTP/1.0"""
281,29/Nov/2015,54.165.199.171,"""GET /philadelphia-sports/ HTTP/1.0"""
282,29/Nov/2015,54.165.199.171,
283,29/Nov/2015,54.165.199.171,"""GET /weather/ HTTP/1.0"""
284,29/Nov/2015,54.165.199.171,"""GET /sports/ HTTP/1.0"""
285,29/Nov/2015,97.100.169.53,"""GET / HTTP/1.1"""
286,29/Nov/2015,54.165.199.171,"""GET /orlando-headlines/ HTTP/1.0"""
287,29/Nov/2015,54.165.199.171,"""GET /orlando-sports/ HTTP/1.0"""
288,29/Nov/2015,54.165.199.171,"""GET /about/ HTTP/1.0"""
289,29/Nov/2015,54.165.199.171,"""GET /business/ HTTP/1.0"""
290,29/Nov/2015,54.165.199.171,"""GET /technology/ HTTP/1.0"""
291,29/Nov/2015,54.165.199.171,"""GET /entertainment/ HTTP/1.0"""
292,29/Nov/2015,54.165.199.171,"""GET /travel/ HTTP/1.0"""
293,29/Nov/2015,97.100.169.53,"""GET /world/ HTTP/1.1"""
294,29/Nov/2015,54.165.199.171,"""GET /national-headlines/ HTTP/1.0"""
295,29/Nov/2015,54.165.199.171,"""GET /science/ HTTP/1.0"""
296,29/Nov/2015,54.165.199.171,"""GET /seattle-headlines/ HTTP/1.0"""
297,29/Nov/2015,54.165.199.171,"""GET /seattle-sports/ HTTP/1.0"""
298,29/Nov/2015,54.165.199.171,"""GET /dallas-headlines/ HTTP/1.0"""
299,29/Nov/2015,54.165.199.171,"""GET /chicago-sports/ HTTP/1.0"""
300,29/Nov/2015,54.165.199.171,"""GET /dallas-sports/ HTTP/1.0"""
301,29/Nov/2015,54.165.199.171,"""GET /houston-headlines/ HTTP/1.0"""
302,29/Nov/2015,54.165.199.171,"""GET /philadelphia-headlines/ HTTP/1.0"""
303,29/Nov/2015,54.165.199.171,"""GET /houston-sports/ HTTP/1.0"""
304,29/Nov/2015,54.165.199.171,"""GET /chicago-headlines/ HTTP/1.0"""
305,29/Nov/2015,54.165.199.171,"""GET /los-angeles-sports/ HTTP/1.0"""
306,29/Nov/2015,54.165.199.171,"""GET /national-sports/ HTTP/1.0"""
307,29/Nov/2015,54.165.199.171,"""GET /new-york-city-sports/ HTTP/1.0"""
308,29/Nov/2015,54.165.199.171,"""GET /new-york-city-headlines/ HTTP/1.0"""
309,29/Nov/2015,54.165.199.171,"""GET /los-angeles-headlines/ HTTP/1.0"""
310,29/Nov/2015,54.165.199.171,"""GET /category/uncategorized/ HTTP/1.0"""
311,29/Nov/2015,54.165.199.171,"""GET /washington-dc-headlines/ HTTP/1.0"""
312,29/Nov/2015,97.100.169.53,"""GET /weather/ HTTP/1.1"""
313,29/Nov/2015,54.165.199.171,"""GET /sitemap_index.xml HTTP/1.0"""
314,29/Nov/2015,54.165.199.171,"""GET /creating-good-comics-experience/ HTTP/1.0"""
315,29/Nov/2015,54.165.199.171,"""GET /introducing-comment-killer/ HTTP/1.0"""
316,29/Nov/2015,54.165.199.171,"""GET /defense-sticking-head-sand/ HTTP/1.0"""
317,29/Nov/2015,54.165.199.171,"""GET /no-hate-news/ HTTP/1.0"""
318,29/Nov/2015,54.165.199.171,"""GET /filter-bad-news-restore-faith-humanity/ HTTP/1.0"""
319,29/Nov/2015,54.165.199.171,"""GET / HTTP/1.0"""
320,29/Nov/2015,54.165.199.171,"""GET /phoenix-headlines/ HTTP/1.0"""
321,29/Nov/2015,54.165.199.171,"""GET /san-francisco-sports/ HTTP/1.0"""
322,29/Nov/2015,54.165.199.171,"""GET /phoenix-sports/ HTTP/1.0"""
323,29/Nov/2015,54.165.199.171,"""GET /detroit-sports/ HTTP/1.0"""
324,29/Nov/2015,54.165.199.171,"""GET /minneapolis-headlines/ HTTP/1.0"""
325,29/Nov/2015,54.165.199.171,"""GET /san-francisco-headlines/ HTTP/1.0"""
326,29/Nov/2015,54.165.199.171,"""GET /detroit-headlines/ HTTP/1.0"""
327,29/Nov/2015,54.165.199.171,"""GET /boston-sports/ HTTP/1.0"""
328,29/Nov/2015,54.165.199.171,"""GET /miami-sports/ HTTP/1.0"""
